nm,HL,LL,HL_2,LL_2,HL_UB,HL_LB,LL_UB,LL_LB
573,4.26E-09,1.20E-08,4.95E-09,1.41E-08,4.40627E-09,4.11563E-09,1.274E-08,1.129E-08
574,4.27E-09,1.19E-08,4.91E-09,1.41E-08,4.44944E-09,4.0837E-09,1.255E-08,1.135E-08
575,4.26E-09,1.19E-08,4.96E-09,1.39E-08,4.45295E-09,4.06292E-09,1.251E-08,1.121E-08
576,4.25E-09,1.17E-08,5.02E-09,1.37E-08,4.47016E-09,4.02889E-09,1.242E-08,1.101E-08
577,4.30E-09,1.17E-08,4.95E-09,1.38E-08,4.68636E-09,3.91055E-09,1.194E-08,1.140E-08
578,4.15E-09,1.17E-08,4.90E-09,1.39E-08,4.56542E-09,3.73781E-09,1.198E-08,1.138E-08
579,4.07E-09,1.15E-08,4.82E-09,1.40E-08,4.49926E-09,3.64936E-09,1.172E-08,1.136E-08
580,4.09E-09,1.15E-08,4.73E-09,1.40E-08,4.47137E-09,3.71531E-09,1.162E-08,1.134E-08
581,4.14E-09,1.15E-08,4.61E-09,1.38E-08,4.51851E-09,3.76272E-09,1.170E-08,1.135E-08
582,4.21E-09,1.14E-08,4.53E-09,1.36E-08,4.51562E-09,3.90346E-09,1.174E-08,1.110E-08
583,4.28E-09,1.15E-08,4.44E-09,1.37E-08,4.55236E-09,4.00482E-09,1.163E-08,1.134E-08
584,4.30E-09,1.17E-08,4.30E-09,1.37E-08,4.58072E-09,4.02353E-09,1.172E-08,1.165E-08
585,4.30E-09,1.18E-08,4.29E-09,1.37E-08,4.52153E-09,4.08034E-09,1.208E-08,1.157E-08
586,4.33E-09,1.19E-08,4.23E-09,1.34E-08,4.45088E-09,4.20861E-09,1.228E-08,1.144E-08
587,4.30E-09,1.19E-08,4.25E-09,1.32E-08,4.44033E-09,4.16909E-09,1.237E-08,1.143E-08
588,4.31E-09,1.19E-08,4.22E-09,1.30E-08,4.49835E-09,4.11927E-09,1.226E-08,1.153E-08
589,4.29E-09,1.18E-08,4.30E-09,1.29E-08,4.47265E-09,4.10864E-09,1.216E-08,1.150E-08
590,4.20E-09,1.17E-08,4.36E-09,1.27E-08,4.44717E-09,3.95868E-09,1.222E-08,1.113E-08
591,4.16E-09,1.16E-08,4.50E-09,1.26E-08,4.46895E-09,3.85835E-09,1.224E-08,1.093E-08
592,4.13E-09,1.13E-08,4.61E-09,1.25E-08,4.52438E-09,3.72924E-09,1.195E-08,1.071E-08
593,4.11E-09,1.11E-08,4.70E-09,1.26E-08,4.51878E-09,3.71049E-09,1.174E-08,1.054E-08
